Dickens, Charles
Austen, Jane
Twain, Mark
Poe, Edgar Allan
Doyle, Arthur Conan
Wilde, Oscar
Stevenson, Robert Louis
Carroll, Lewis
Shelley, Mary Wollstonecraft
Shakespeare, William
Jowett, Benjamin
Defoe, Daniel
London, Jack
Widger, David
Wells, H. G. (Herbert George)
Dostoyevsky, Fyodor
Ibsen, Henrik
Swift, Jonathan
Alcott, Louisa May
Baum, L. Frank (Lyman Frank)
Gilman, Charlotte Perkins
Melville, Herman
Kipling, Rudyard
Joyce, James
Montgomery, L. M. (Lucy Maud)
Hawthorne, Nathaniel
Garnett, Constance
Conrad, Joseph
Homer
Kafka, Franz
Burnett, Frances Hodgson
Dante Alighieri
Verne, Jules
Doré, Gustave
Thoreau, Henry David
Rhead, Louis
Rand, Ayn
Grimm, Jacob
Grimm, Wilhelm
Russell, Bertrand
James, Henry
Wyllie, David
Shaw, Bernard
Lang, Andrew
Christie, Agatha
Stoker, Bram
Cervantes Saavedra, Miguel de
Betten, Francis S. (Francis Sales)
Maude, Louise
Maude, Aylmer
Brontë, Charlotte
Leech, John
Potter, Beatrix
Wilder, Marshall Pinckney
Balzac, Honoré de
Maupassant, Guy de
